Genotype   	0  	17  	25   	44    	66                 	75                	90
genotype-1 	0.0	0.0 	0.261	1.0   	1.0                	1.0               	1.0
genotype-2 	0.0	0.38	0.432	0.0   	0.0                	0.0               	0.0
genotype-3 	0.0	0.0 	0.0  	0.0   	0.0                	1.0               	1.0
genotype-4 	0.0	0.0 	0.0  	0.525 	0.454              	0.911             	0.91
genotype-5 	0.0	0.0 	0.0  	0.147 	0.45               	0.924             	0.887
genotype-6 	0.0	0.0 	0.0  	0.273 	0.781              	1.0               	1.0
genotype-7 	0.0	0.0 	0.0  	0.188 	0.171              	0.232             	0.244
genotype-8 	0.0	0.0 	0.0  	0.403 	0.489              	0.057             	0.08
genotype-9 	0.0	0.0 	0.117	0.0   	0.0                	0.0               	0.103
genotype-10	0.0	0.0 	0.0  	0.138 	0.295              	0.0               	0.081
genotype-11	0.0	0.0 	0.0  	0.0   	0.27799999999999997	0.8220000000000001	0.8029999999999999
genotype-12	0.0	0.0 	0.0  	0.0   	0.23349999999999999	0.133             	0.0375
genotype-13	0.0	0.0 	0.033	0.106 	0.1065             	0.0               	0.0
genotype-14	0.0	0.0 	0.0  	0.0   	0.0                	0.2675            	0.326
genotype-15	0.0	0.0 	0.0  	0.1145	0.0                	0.1205            	0.0615
